Apr 16 21:45:35: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): start?__nl_n_eliom-process.p=true
Apr 16 21:45:36: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): power?__nl_n_eliom-process.p=true
Apr 16 21:45:37: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): spot?__nl_n_eliom-process.p=true
Apr 16 21:45:38: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): clean?__nl_n_eliom-process.p=true
Apr 16 21:45:38: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): max?__nl_n_eliom-process.p=true
Apr 16 21:45:41: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): 
Apr 16 21:45:41: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): nestor.js
Apr 16 21:45:45: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): power?__nl_n_eliom-process.p=true
Apr 16 21:50:57: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): power
Apr 16 21:50:57: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): css/nestor.css
Apr 16 21:50:57: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): nestor.js
Apr 16 21:51:02: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): max?__nl_n_eliom-process.p=true
Apr 16 21:51:02: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): clean?__nl_n_eliom-process.p=true
Apr 16 21:51:03: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): spot?__nl_n_eliom-process.p=true
Apr 16 21:51:03: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): power?__nl_n_eliom-process.p=true
Apr 16 21:51:04: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): safe?__nl_n_eliom-process.p=true
Apr 16 21:51:08: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): 
Apr 16 21:51:08: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): nestor.js
Apr 16 22:03:01: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): 
Apr 16 22:03:02: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): css/nestor.css
Apr 16 22:03:02: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): nestor.js
Apr 16 22:05:11: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): 
Apr 16 22:05:11: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): css/nestor.css
Apr 16 22:05:11: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): nestor.js
Apr 16 22:05:14: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): recule?__nl_n_eliom-process.p=true
